D:\python\Python39\python3.exe C:\Users\86136\Desktop\article\transformer-python\classification\微调.py 
Epoch 59 / 100, Testing: Sensitivity: 0.8829224361139255, Specificity: 0.9887611677004495, Train Acc: 0.9674, Test Acc: 0.9577, AUROC: 0.9212, AUPC: -0.9077, F1 Score: 0.8922, Recall: 0.8596
Epoch 60 / 100, Testing: Sensitivity: 0.8837104581785433, Specificity: 0.988448187560462, Train Acc: 0.9673, Test Acc: 0.9576, AUROC: 0.9213, AUPC: -0.9074, F1 Score: 0.8920, Recall: 0.8602
Epoch 61 / 100, Testing: Sensitivity: 0.8855116514690983, Specificity: 0.988049849200478, Train Acc: 0.9674, Test Acc: 0.9582, AUROC: 0.9220, AUPC: -0.9088, F1 Score: 0.8934, Recall: 0.8609
Epoch 62 / 100, Testing: Sensitivity: 0.882359563210627, Specificity: 0.9891879588004325, Train Acc: 0.9676, Test Acc: 0.9585, AUROC: 0.9217, AUPC: -0.9096, F1 Score: 0.8939, Recall: 0.8596
Epoch 63 / 100, Testing: Sensitivity: 0.8831475852752448, Specificity: 0.989074147840437, Train Acc: 0.9677, Test Acc: 0.9583, AUROC: 0.9217, AUPC: -0.9091, F1 Score: 0.8935, Recall: 0.8599
Epoch 64 / 100, Testing: Sensitivity: 0.8844984802431611, Specificity: 0.9890172423604393, Train Acc: 0.9679, Test Acc: 0.9583, AUROC: 0.9217, AUPC: -0.9091, F1 Score: 0.8935, Recall: 0.8599
Epoch 65 / 100, Testing: Sensitivity: 0.8850613531464595, Specificity: 0.9887327149604507, Train Acc: 0.9678, Test Acc: 0.9581, AUROC: 0.9219, AUPC: -0.9086, F1 Score: 0.8932, Recall: 0.8609
Epoch 66 / 100, Testing: Sensitivity: 0.8847236294044805, Specificity: 0.989074147840437, Train Acc: 0.9680, Test Acc: 0.9581, AUROC: 0.9221, AUPC: -0.9085, F1 Score: 0.8932, Recall: 0.8615
Epoch 67 / 100, Testing: Sensitivity: 0.8866373972756951, Specificity: 0.9887327149604507, Train Acc: 0.9681, Test Acc: 0.9585, AUROC: 0.9228, AUPC: -0.9095, F1 Score: 0.8943, Recall: 0.8625
Epoch 68 / 100, Testing: Sensitivity: 0.8866373972756951, Specificity: 0.9889318841404428, Train Acc: 0.9683, Test Acc: 0.9584, AUROC: 0.9229, AUPC: -0.9092, F1 Score: 0.8941, Recall: 0.8630
