D:\python\Python39\python3.exe C:\Users\86136\Desktop\article\transformer-python\classification\微调.py 
Epoch 69 / 100, Testing: Sensitivity: 0.9840923874935584, Specificity: 0.9705464463025869, Train Acc: 0.9772, Test Acc: 0.9757, AUROC: 0.9759, AUPC: -0.9795, F1 Score: 0.9755, Recall: 0.9841
Epoch 70 / 100, Testing: Sensitivity: 0.9837206748274493, Specificity: 0.9718529527044683, Train Acc: 0.9777, Test Acc: 0.9764, AUROC: 0.9766, AUPC: -0.9802, F1 Score: 0.9762, Recall: 0.9838
Epoch 71 / 100, Testing: Sensitivity: 0.9839318752059204, Specificity: 0.9722694016200679, Train Acc: 0.9780, Test Acc: 0.9766, AUROC: 0.9767, AUPC: -0.9804, F1 Score: 0.9764, Recall: 0.9839
Epoch 72 / 100, Testing: Sensitivity: 0.9843880680234179, Specificity: 0.9727920041808205, Train Acc: 0.9785, Test Acc: 0.9771, AUROC: 0.9772, AUPC: -0.9808, F1 Score: 0.9769, Recall: 0.9843
Epoch 73 / 100, Testing: Sensitivity: 0.9862888714296576, Specificity: 0.9708649072380454, Train Acc: 0.9784, Test Acc: 0.9773, AUROC: 0.9774, AUPC: -0.9804, F1 Score: 0.9771, Recall: 0.9866
Epoch 74 / 100, Testing: Sensitivity: 0.981152478225241, Specificity: 0.976629866736347, Train Acc: 0.9789, Test Acc: 0.9778, AUROC: 0.9779, AUPC: -0.9821, F1 Score: 0.9775, Recall: 0.9814
Epoch 75 / 100, Testing: Sensitivity: 0.983306722085646, Specificity: 0.975649986934936, Train Acc: 0.9794, Test Acc: 0.9778, AUROC: 0.9779, AUPC: -0.9818, F1 Score: 0.9775, Recall: 0.9829
Epoch 76 / 100, Testing: Sensitivity: 0.9842782438266129, Specificity: 0.975649986934936, Train Acc: 0.9799, Test Acc: 0.9782, AUROC: 0.9783, AUPC: -0.9820, F1 Score: 0.9780, Recall: 0.9837
Epoch 77 / 100, Testing: Sensitivity: 0.9867788563077105, Specificity: 0.9726450222106088, Train Acc: 0.9796, Test Acc: 0.9784, AUROC: 0.9786, AUPC: -0.9815, F1 Score: 0.9782, Recall: 0.9868
Epoch 78 / 100, Testing: Sensitivity: 0.9847175406138328, Specificity: 0.9760990985105827, Train Acc: 0.9803, Test Acc: 0.9790, AUROC: 0.9791, AUPC: -0.9825, F1 Score: 0.9787, Recall: 0.9846
Epoch 79 / 100, Testing: Sensitivity: 0.9830532816314806, Specificity: 0.9778955448131695, Train Acc: 0.9804, Test Acc: 0.9792, AUROC: 0.9793, AUPC: -0.9831, F1 Score: 0.9789, Recall: 0.9829
Epoch 80 / 100, Testing: Sensitivity: 0.984489444205084, Specificity: 0.976866671021688, Train Acc: 0.9806, Test Acc: 0.9789, AUROC: 0.9790, AUPC: -0.9826, F1 Score: 0.9787, Recall: 0.9840
Epoch 81 / 100, Testing: Sensitivity: 0.9841853156600857, Specificity: 0.97808335510844, Train Acc: 0.9811, Test Acc: 0.9797, AUROC: 0.9798, AUPC: -0.9833, F1 Score: 0.9795, Recall: 0.9843
Epoch 82 / 100, Testing: Sensitivity: 0.9835517145246724, Specificity: 0.9788345962895219, Train Acc: 0.9812, Test Acc: 0.9796, AUROC: 0.9797, AUPC: -0.9835, F1 Score: 0.9793, Recall: 0.9831
Epoch 83 / 100, Testing: Sensitivity: 0.9852582135827187, Specificity: 0.978254834073687, Train Acc: 0.9817, Test Acc: 0.9801, AUROC: 0.9801, AUPC: -0.9835, F1 Score: 0.9798, Recall: 0.9848
Epoch 84 / 100, Testing: Sensitivity: 0.986103015096603, Specificity: 0.9777403971779461, Train Acc: 0.9819, Test Acc: 0.9802, AUROC: 0.9803, AUPC: -0.9835, F1 Score: 0.9800, Recall: 0.9857
Epoch 85 / 100, Testing: Sensitivity: 0.9878010661395106, Specificity: 0.9752988633394304, Train Acc: 0.9814, Test Acc: 0.9798, AUROC: 0.9800, AUPC: -0.9828, F1 Score: 0.9796, Recall: 0.9874
Epoch 86 / 100, Testing: Sensitivity: 0.9845654763413336, Specificity: 0.9797654821008623, Train Acc: 0.9821, Test Acc: 0.9810, AUROC: 0.9811, AUPC: -0.9845, F1 Score: 0.9807, Recall: 0.9845
Epoch 87 / 100, Testing: Sensitivity: 0.9859593988392428, Specificity: 0.9781895087535929, Train Acc: 0.9820, Test Acc: 0.9806, AUROC: 0.9807, AUPC: -0.9839, F1 Score: 0.9804, Recall: 0.9858
Epoch 88 / 100, Testing: Sensitivity: 0.9853089016735518, Specificity: 0.9795940031356154, Train Acc: 0.9824, Test Acc: 0.9812, AUROC: 0.9813, AUPC: -0.9846, F1 Score: 0.9809, Recall: 0.9849
Epoch 89 / 100, Testing: Sensitivity: 0.9847682287046658, Specificity: 0.9804840606218971, Train Acc: 0.9826, Test Acc: 0.9813, AUROC: 0.9813, AUPC: -0.9848, F1 Score: 0.9810, Recall: 0.9846
Epoch 90 / 100, Testing: Sensitivity: 0.9894484290915849, Specificity: 0.974465965508231, Train Acc: 0.9818, Test Acc: 0.9802, AUROC: 0.9803, AUPC: -0.9828, F1 Score: 0.9800, Recall: 0.9890
Epoch 91 / 100, Testing: Sensitivity: 0.9850132211436923, Specificity: 0.9810883198327672, Train Acc: 0.9830, Test Acc: 0.9819, AUROC: 0.9819, AUPC: -0.9853, F1 Score: 0.9816, Recall: 0.9850
Epoch 92 / 100, Testing: Sensitivity: 0.986964712640765, Specificity: 0.9792592108701332, Train Acc: 0.9830, Test Acc: 0.9819, AUROC: 0.9820, AUPC: -0.9848, F1 Score: 0.9817, Recall: 0.9873
Epoch 93 / 100, Testing: Sensitivity: 0.9856130302185502, Specificity: 0.9811046511627907, Train Acc: 0.9833, Test Acc: 0.9820, AUROC: 0.9821, AUPC: -0.9853, F1 Score: 0.9817, Recall: 0.9854
Epoch 94 / 100, Testing: Sensitivity: 0.9852582135827187, Specificity: 0.9820028743140842, Train Acc: 0.9836, Test Acc: 0.9823, AUROC: 0.9823, AUPC: -0.9858, F1 Score: 0.9820, Recall: 0.9845
Epoch 95 / 100, Testing: Sensitivity: 0.9876912419427055, Specificity: 0.9793163705252156, Train Acc: 0.9834, Test Acc: 0.9821, AUROC: 0.9822, AUPC: -0.9851, F1 Score: 0.9819, Recall: 0.9873
Epoch 96 / 100, Testing: Sensitivity: 0.986643688065489, Specificity: 0.9812353018029788, Train Acc: 0.9839, Test Acc: 0.9826, AUROC: 0.9826, AUPC: -0.9857, F1 Score: 0.9823, Recall: 0.9864
Epoch 97 / 100, Testing: Sensitivity: 0.9863817995961849, Specificity: 0.9815945910634962, Train Acc: 0.9839, Test Acc: 0.9825, AUROC: 0.9826, AUPC: -0.9858, F1 Score: 0.9823, Recall: 0.9857
Epoch 98 / 100, Testing: Sensitivity: 0.9864240396718791, Specificity: 0.9819538803240135, Train Acc: 0.9842, Test Acc: 0.9826, AUROC: 0.9827, AUPC: -0.9858, F1 Score: 0.9824, Recall: 0.9860
Epoch 99 / 100, Testing: Sensitivity: 0.9872266011100692, Specificity: 0.9815047687483669, Train Acc: 0.9843, Test Acc: 0.9831, AUROC: 0.9832, AUPC: -0.9862, F1 Score: 0.9829, Recall: 0.9867
Epoch 100 / 100, Testing: Sensitivity: 0.9890851644406147, Specificity: 0.9792592108701332, Train Acc: 0.9841, Test Acc: 0.9827, AUROC: 0.9828, AUPC: -0.9854, F1 Score: 0.9825, Recall: 0.9885
